user_id,cluster_type,cluster_id
C000001,cod_ring,COD_RING_01
C000002,cod_ring,COD_RING_01
C000003,cod_ring,COD_RING_01
C000004,cod_ring,COD_RING_01
C000005,cod_ring,COD_RING_01
C000006,cod_ring,COD_RING_01
C000007,cod_ring,COD_RING_01
C000008,cod_ring,COD_RING_02
C000009,cod_ring,COD_RING_02
C000010,cod_ring,COD_RING_02
C000011,cod_ring,COD_RING_03
C000012,cod_ring,COD_RING_03
C000013,cod_ring,COD_RING_03
C000014,cod_ring,COD_RING_03
C000015,cod_ring,COD_RING_03
C000016,cod_ring,COD_RING_03
C000017,cod_ring,COD_RING_03
C000018,cod_ring,COD_RING_04
C000019,cod_ring,COD_RING_04
C000020,cod_ring,COD_RING_04
C000021,cod_ring,COD_RING_04
C000022,cod_ring,COD_RING_04
C000023,cod_ring,COD_RING_05
C000024,cod_ring,COD_RING_05
C000025,cod_ring,COD_RING_05
C000026,cod_ring,COD_RING_05
C000027,cod_ring,COD_RING_06
C000028,cod_ring,COD_RING_06
C000029,cod_ring,COD_RING_06
C000030,cod_ring,COD_RING_06
C000031,cod_ring,COD_RING_06
C000032,cod_ring,COD_RING_06
C000033,cod_ring,COD_RING_07
C000034,cod_ring,COD_RING_07
C000035,cod_ring,COD_RING_07
C000036,cod_ring,COD_RING_07
C000037,cod_ring,COD_RING_07
C000038,cod_ring,COD_RING_07
C000039,cod_ring,COD_RING_07
C000040,cod_ring,COD_RING_07
C000041,cod_ring,COD_RING_07
C000042,cod_ring,COD_RING_07
C000043,cod_ring,COD_RING_08
C000044,cod_ring,COD_RING_08
C000045,cod_ring,COD_RING_08
C000046,cod_ring,COD_RING_08
C000047,cod_ring,COD_RING_08
C000048,cod_ring,COD_RING_08
C000049,cod_ring,COD_RING_08
C000050,cod_ring,COD_RING_08
C000051,cod_ring,COD_RING_09
C000052,cod_ring,COD_RING_09
C000053,cod_ring,COD_RING_09
C000054,cod_ring,COD_RING_09
C000055,cod_ring,COD_RING_09
C000056,cod_ring,COD_RING_09
C000057,cod_ring,COD_RING_10
C000058,cod_ring,COD_RING_10
C000059,cod_ring,COD_RING_10
C000060,cod_ring,COD_RING_10
C000061,cod_ring,COD_RING_10
C000062,cod_ring,COD_RING_10
C000063,cod_confounder,COD_CONF_01
C000064,cod_confounder,COD_CONF_01
C000065,cod_confounder,COD_CONF_01
C000066,cod_confounder,COD_CONF_01
C000067,cod_confounder,COD_CONF_01
C000068,cod_confounder,COD_CONF_01
C000069,cod_confounder,COD_CONF_01
C000070,cod_confounder,COD_CONF_01
C000071,cod_confounder,COD_CONF_01
C000072,cod_confounder,COD_CONF_01
C000073,cod_confounder,COD_CONF_01
C000074,cod_confounder,COD_CONF_02
C000075,cod_confounder,COD_CONF_02
C000076,cod_confounder,COD_CONF_02
C000077,cod_confounder,COD_CONF_02
C000078,cod_confounder,COD_CONF_02
C000079,cod_confounder,COD_CONF_02
C000080,cod_confounder,COD_CONF_02
