order_id,user_id,order_value,order_date,payment_method,delivery_status
OC000001,C000001,7137.7,2026-04-21,COD,refused
OC000002,C000001,4716.21,2026-05-03,COD,refused
OC000003,C000001,8654.98,2026-05-19,COD,refused
OC000004,C000001,2863.73,2026-06-06,COD,refused
OC000005,C000001,10931.7,2026-06-14,COD,refused
OC000006,C000002,4733.66,2026-03-24,COD,refused
OC000007,C000002,8397.59,2026-04-11,COD,refused
OC000008,C000002,5270.12,2026-04-21,COD,refused
OC000009,C000002,2415.76,2026-05-11,COD,refused
OC000010,C000002,9153.72,2026-05-19,COD,refused
OC000011,C000002,10131.88,2026-05-25,COD,refused
OC000012,C000003,4114.92,2025-11-15,COD,refused
OC000013,C000003,9686.72,2025-11-22,COD,refused
OC000014,C000003,4179.11,2025-11-29,COD,refused
OC000015,C000003,2642.16,2025-12-05,COD,refused
OC000016,C000003,3383.08,2025-12-09,COD,refused
OC000017,C000003,5469.93,2025-12-12,COD,refused
OC000018,C000004,4579.6,2026-03-02,COD,refused
OC000019,C000004,5072.16,2026-03-14,COD,refused
OC000020,C000004,7844.92,2026-03-19,COD,refused
OC000021,C000004,9634.53,2026-04-06,COD,refused
OC000022,C000005,7945.92,2026-02-08,COD,refused
OC000023,C000005,5860.5,2026-02-20,COD,refused
OC000024,C000006,4879.82,2026-03-04,COD,refused
OC000025,C000006,5023.84,2026-03-21,COD,refused
OC000026,C000006,9341.48,2026-03-28,COD,refused
OC000027,C000006,4618.69,2026-04-10,COD,refused
OC000028,C000007,10312.12,2026-05-11,COD,refused
OC000029,C000007,4509.58,2026-05-27,COD,refused
OC000030,C000007,8555.34,2026-06-06,COD,refused
OC000031,C000007,2501.67,2026-06-16,COD,refused
OC000032,C000007,8902.06,2026-06-18,COD,delivered
OC000033,C000007,8105.26,2026-06-21,COD,refused
OC000034,C000008,3570.46,2026-05-21,COD,refused
OC000035,C000008,3215.33,2026-05-27,COD,refused
OC000036,C000008,5839.76,2026-06-06,COD,refused
OC000037,C000008,3655.04,2026-06-14,COD,refused
OC000038,C000008,8794.41,2026-06-29,COD,refused
OC000039,C000009,8173.75,2026-05-03,COD,refused
OC000040,C000009,3370.21,2026-05-21,COD,refused
OC000041,C000009,6073.54,2026-05-31,COD,refused
OC000042,C000009,5821.59,2026-06-03,COD,refused
OC000043,C000009,9512.78,2026-06-19,COD,refused
OC000044,C000010,2770.45,2026-04-24,COD,refused
OC000045,C000010,4011.5,2026-04-30,COD,refused
OC000046,C000010,2221.76,2026-05-15,COD,refused
OC000047,C000010,3376.37,2026-05-21,COD,refused
OC000048,C000011,2995.9,2026-01-02,COD,refused
OC000049,C000011,8450.34,2026-01-10,COD,delivered
OC000050,C000011,6588.77,2026-01-20,COD,delivered
OC000051,C000011,2869.17,2026-02-07,COD,refused
OC000052,C000012,7748.77,2026-02-03,COD,refused
OC000053,C000012,7605.85,2026-02-19,COD,refused
OC000054,C000012,10254.39,2026-03-01,COD,delivered
OC000055,C000013,7983.48,2026-01-05,COD,delivered
OC000056,C000013,8506.36,2026-01-10,COD,refused
OC000057,C000013,11819.28,2026-01-23,COD,refused
OC000058,C000013,8771.58,2026-02-03,COD,refused
OC000059,C000014,4720.37,2026-08-25,COD,refused
OC000060,C000015,11621.57,2026-05-02,COD,refused
OC000061,C000015,7540.06,2026-05-11,COD,refused
OC000062,C000015,11207.34,2026-05-31,COD,refused
OC000063,C000016,10301.83,2025-12-24,COD,refused
OC000064,C000016,10057.42,2025-12-30,COD,refused
OC000065,C000016,10960.22,2026-01-13,COD,refused
OC000066,C000016,6324.81,2026-01-22,COD,delivered
OC000067,C000016,11467.51,2026-02-03,COD,refused
OC000068,C000016,6548.57,2026-02-17,COD,refused
OC000069,C000017,3966.88,2026-04-29,COD,refused
OC000070,C000017,11204.3,2026-05-12,COD,refused
OC000071,C000018,11622.21,2026-06-12,COD,refused
OC000072,C000018,11222.52,2026-06-29,COD,refused
OC000073,C000018,10327.03,2026-07-13,COD,delivered
OC000074,C000018,10882.92,2026-07-25,COD,refused
OC000075,C000019,4322.37,2026-06-22,COD,refused
OC000076,C000019,4222.54,2026-07-03,COD,refused
OC000077,C000019,5214.6,2026-07-08,COD,refused
OC000078,C000019,3616.52,2026-07-21,COD,refused
OC000079,C000020,11192.97,2025-11-14,COD,refused
OC000080,C000020,3666.49,2025-12-03,COD,refused
OC000081,C000020,3310.78,2025-12-14,COD,refused
OC000082,C000020,2684.99,2025-12-28,COD,refused
OC000083,C000020,2898.27,2026-01-10,COD,refused
OC000084,C000021,11191.06,2025-09-18,COD,refused
OC000085,C000021,3525.58,2025-10-03,COD,refused
OC000086,C000021,6160.23,2025-10-07,COD,refused
OC000087,C000021,6367.83,2025-10-16,COD,refused
OC000088,C000021,10516.38,2025-10-19,COD,refused
OC000089,C000022,8944.82,2026-07-13,COD,delivered
OC000090,C000022,10074.51,2026-07-17,COD,refused
OC000091,C000022,3746.18,2026-07-30,COD,refused
OC000092,C000022,2501.96,2026-08-11,COD,refused
OC000093,C000022,6938.43,2026-08-20,COD,refused
OC000094,C000023,4131.75,2026-07-30,COD,delivered
OC000095,C000023,7375.96,2026-08-04,COD,refused
OC000096,C000023,2571.44,2026-08-08,COD,refused
OC000097,C000023,5847.65,2026-08-20,COD,refused
OC000098,C000023,9298.01,2026-08-24,COD,delivered
OC000099,C000024,8307.16,2026-01-17,COD,delivered
OC000100,C000024,10094.49,2026-02-03,COD,refused
OC000101,C000025,11573.89,2025-12-30,COD,refused
OC000102,C000025,2162.97,2026-01-13,COD,delivered
OC000103,C000025,2637.36,2026-01-27,COD,refused
OC000104,C000025,6232.74,2026-02-11,COD,refused
OC000105,C000026,11343.69,2025-10-16,COD,delivered
OC000106,C000026,11484.82,2025-10-20,COD,delivered
OC000107,C000026,9131.11,2025-10-30,COD,refused
OC000108,C000027,2675.94,2026-05-23,COD,refused
OC000109,C000027,10371.33,2026-05-27,COD,refused
OC000110,C000027,4963.28,2026-06-08,COD,refused
OC000111,C000027,6914.69,2026-06-19,COD,refused
OC000112,C000027,2328.78,2026-07-02,COD,delivered
OC000113,C000027,4122.77,2026-07-20,COD,refused
OC000114,C000028,8004.15,2026-05-07,COD,refused
OC000115,C000028,6512.86,2026-05-17,COD,delivered
OC000116,C000028,5503.1,2026-05-23,COD,refused
OC000117,C000028,9136.51,2026-06-11,COD,refused
OC000118,C000028,4692.22,2026-06-22,COD,refused
OC000119,C000028,5777.53,2026-07-09,COD,refused
OC000120,C000029,5755.25,2026-02-26,COD,refused
OC000121,C000029,10200.0,2026-03-13,COD,refused
OC000122,C000029,2539.51,2026-04-01,COD,refused
OC000123,C000029,9621.01,2026-04-17,COD,refused
OC000124,C000029,4139.78,2026-05-01,COD,refused
OC000125,C000030,9508.66,2026-03-20,COD,refused
OC000126,C000030,9370.75,2026-03-31,COD,delivered
OC000127,C000030,9417.46,2026-04-15,COD,refused
OC000128,C000030,9992.59,2026-04-29,COD,refused
OC000129,C000030,5334.09,2026-05-06,COD,refused
OC000130,C000030,4054.47,2026-05-21,COD,refused
OC000131,C000031,3961.48,2026-03-29,COD,refused
OC000132,C000031,11323.06,2026-04-14,COD,delivered
OC000133,C000031,8287.59,2026-05-02,COD,refused
OC000134,C000031,3520.2,2026-05-09,COD,delivered
OC000135,C000031,2288.28,2026-05-25,COD,refused
OC000136,C000032,4502.94,2026-06-04,COD,refused
OC000137,C000032,10819.42,2026-06-22,COD,refused
OC000138,C000032,7284.37,2026-06-25,COD,refused
OC000139,C000032,11551.87,2026-07-03,COD,refused
OC000140,C000032,3961.04,2026-07-12,COD,refused
OC000141,C000032,5634.28,2026-07-26,COD,refused
OC000142,C000033,8066.48,2026-06-06,COD,refused
OC000143,C000033,9854.21,2026-06-25,COD,refused
OC000144,C000033,7638.84,2026-07-09,COD,refused
OC000145,C000033,2658.46,2026-07-21,COD,refused
OC000146,C000033,7690.09,2026-07-24,COD,refused
OC000147,C000034,4400.26,2025-12-03,COD,refused
OC000148,C000034,8116.21,2025-12-07,COD,refused
OC000149,C000034,11514.12,2025-12-23,COD,refused
OC000150,C000034,8392.4,2026-01-08,COD,refused
OC000151,C000034,10671.91,2026-01-13,COD,refused
OC000152,C000035,6013.32,2026-05-20,COD,refused
OC000153,C000035,7887.41,2026-05-22,COD,refused
OC000154,C000035,2661.76,2026-06-06,COD,refused
OC000155,C000035,7463.41,2026-06-19,COD,refused
OC000156,C000035,8430.19,2026-07-03,COD,refused
OC000157,C000035,8788.65,2026-07-16,COD,refused
OC000158,C000036,8370.87,2026-03-16,COD,refused
OC000159,C000036,5793.54,2026-03-28,COD,refused
OC000160,C000036,5865.25,2026-04-12,COD,refused
OC000161,C000036,3734.11,2026-04-26,COD,refused
OC000162,C000036,4283.23,2026-05-13,COD,refused
OC000163,C000036,6970.85,2026-05-29,COD,refused
OC000164,C000037,5037.93,2026-08-20,COD,refused
OC000165,C000038,11498.28,2025-12-15,COD,refused
OC000166,C000038,11884.59,2025-12-29,COD,refused
OC000167,C000038,4097.87,2026-01-02,COD,refused
OC000168,C000038,3518.4,2026-01-15,COD,refused
OC000169,C000039,4395.14,2026-01-25,COD,refused
OC000170,C000039,6995.5,2026-02-09,COD,refused
OC000171,C000039,7487.22,2026-02-17,COD,refused
OC000172,C000039,6496.54,2026-03-05,COD,refused
OC000173,C000039,9773.88,2026-03-24,COD,refused
OC000174,C000040,3384.72,2025-10-17,COD,refused
OC000175,C000040,6372.98,2025-10-29,COD,refused
OC000176,C000040,7487.99,2025-11-15,COD,refused
OC000177,C000041,2103.72,2026-04-21,COD,delivered
OC000178,C000041,11453.44,2026-04-25,COD,refused
OC000179,C000041,7240.39,2026-05-06,COD,refused
OC000180,C000041,4546.65,2026-05-11,COD,refused
OC000181,C000041,7214.95,2026-05-16,COD,refused
OC000182,C000041,7613.35,2026-05-28,COD,refused
OC000183,C000042,10206.95,2026-03-14,COD,refused
OC000184,C000042,6531.23,2026-03-17,COD,refused
OC000185,C000042,6862.46,2026-04-02,COD,refused
OC000186,C000042,7824.92,2026-04-12,COD,refused
OC000187,C000043,3919.75,2026-06-22,COD,refused
OC000188,C000043,9063.88,2026-06-28,COD,refused
OC000189,C000043,2365.63,2026-07-16,COD,refused
OC000190,C000043,11529.06,2026-07-27,COD,refused
OC000191,C000043,8625.64,2026-08-06,COD,refused
OC000192,C000043,5278.81,2026-08-12,COD,refused
OC000193,C000044,11546.59,2026-04-08,COD,refused
OC000194,C000044,3674.79,2026-04-20,COD,refused
OC000195,C000044,2527.59,2026-05-01,COD,refused
OC000196,C000044,11245.25,2026-05-19,COD,refused
OC000197,C000045,11933.46,2026-03-19,COD,refused
OC000198,C000045,6966.84,2026-04-01,COD,refused
OC000199,C000045,4557.46,2026-04-18,COD,refused
OC000200,C000046,9645.46,2026-04-05,COD,refused
OC000201,C000046,3980.74,2026-04-15,COD,refused
OC000202,C000046,10923.24,2026-04-20,COD,refused
OC000203,C000046,9047.32,2026-04-25,COD,refused
OC000204,C000046,5899.27,2026-05-12,COD,refused
OC000205,C000047,2265.87,2025-12-14,COD,refused
OC000206,C000047,11946.78,2025-12-20,COD,refused
OC000207,C000047,8818.91,2026-01-02,COD,refused
OC000208,C000047,7213.11,2026-01-07,COD,refused
OC000209,C000047,4490.37,2026-01-18,COD,refused
OC000210,C000047,7218.99,2026-01-30,COD,refused
OC000211,C000048,7536.7,2026-06-19,COD,refused
OC000212,C000048,9746.14,2026-07-05,COD,refused
OC000213,C000048,10254.32,2026-07-19,COD,refused
OC000214,C000048,10073.73,2026-08-06,COD,refused
OC000215,C000048,4512.07,2026-08-25,COD,refused
OC000216,C000049,7453.23,2026-08-10,COD,refused
OC000217,C000050,2215.27,2025-10-25,COD,refused
OC000218,C000050,4009.47,2025-11-13,COD,refused
OC000219,C000050,7715.11,2025-11-24,COD,refused
OC000220,C000051,4915.26,2026-02-23,COD,refused
OC000221,C000051,3232.85,2026-03-14,COD,refused
OC000222,C000051,5783.14,2026-03-31,COD,refused
OC000223,C000051,8315.48,2026-04-08,COD,refused
OC000224,C000052,9827.52,2025-12-20,COD,refused
OC000225,C000052,10070.05,2025-12-23,COD,refused
OC000226,C000052,4297.59,2025-12-30,COD,refused
OC000227,C000052,2144.74,2026-01-17,COD,refused
OC000228,C000052,6192.75,2026-01-22,COD,refused
OC000229,C000053,5412.35,2026-05-12,COD,refused
OC000230,C000053,5452.36,2026-05-28,COD,refused
OC000231,C000054,6059.25,2026-05-04,COD,refused
OC000232,C000054,11460.04,2026-05-09,COD,refused
OC000233,C000054,2148.92,2026-05-24,COD,refused
OC000234,C000055,6747.26,2026-03-13,COD,refused
OC000235,C000055,2730.71,2026-03-20,COD,refused
OC000236,C000055,2837.41,2026-04-02,COD,refused
OC000237,C000056,8097.6,2026-08-05,COD,refused
OC000238,C000056,8783.66,2026-08-25,COD,refused
OC000239,C000057,2660.59,2025-12-08,COD,refused
OC000240,C000057,4527.04,2025-12-15,COD,refused
OC000241,C000057,9949.12,2025-12-21,COD,refused
OC000242,C000058,8412.43,2026-06-11,COD,refused
OC000243,C000058,7949.37,2026-06-27,COD,refused
OC000244,C000059,8880.39,2025-11-15,COD,delivered
OC000245,C000059,7530.05,2025-12-04,COD,refused
OC000246,C000059,9555.02,2025-12-16,COD,refused
OC000247,C000059,8986.6,2025-12-29,COD,refused
OC000248,C000059,5421.65,2026-01-03,COD,delivered
OC000249,C000060,3900.18,2025-09-09,COD,refused
OC000250,C000060,9423.99,2025-09-18,COD,refused
OC000251,C000060,8349.75,2025-09-26,COD,refused
OC000252,C000061,5309.71,2025-10-26,COD,refused
OC000253,C000061,10026.92,2025-10-31,COD,delivered
OC000254,C000061,7135.13,2025-11-16,COD,refused
OC000255,C000062,3709.01,2026-03-12,COD,refused
OC000256,C000062,3169.54,2026-03-15,COD,refused
OC000257,C000062,7819.19,2026-03-28,COD,refused
OC000258,C000062,8630.42,2026-04-07,COD,refused
OC000259,C000062,11443.22,2026-04-21,COD,delivered
OC000260,C000063,634.57,2026-03-12,prepaid,delivered
OC000261,C000063,891.64,2026-05-15,COD,delivered
OC000262,C000063,1751.3,2026-05-20,prepaid,delivered
OC000263,C000063,698.67,2026-06-14,prepaid,delivered
OC000264,C000063,609.16,2026-07-15,COD,delivered
OC000265,C000063,99.0,2026-07-31,prepaid,delivered
OC000266,C000063,1458.77,2026-08-13,prepaid,delivered
OC000267,C000064,925.11,2025-11-16,prepaid,delivered
OC000268,C000064,615.01,2025-12-06,COD,delivered
OC000269,C000064,860.22,2026-01-19,prepaid,delivered
OC000270,C000064,629.68,2026-02-04,prepaid,delivered
OC000271,C000064,966.9,2026-03-21,COD,refused
OC000272,C000064,178.37,2026-04-02,prepaid,delivered
OC000273,C000064,1726.3,2026-04-08,prepaid,delivered
OC000274,C000064,971.04,2026-05-04,COD,delivered
OC000275,C000064,930.43,2026-05-10,COD,refused
OC000276,C000065,1432.8,2026-03-25,prepaid,delivered
OC000277,C000065,1298.06,2026-04-04,prepaid,delivered
OC000278,C000065,541.52,2026-04-12,prepaid,delivered
OC000279,C000065,894.73,2026-04-29,prepaid,delivered
OC000280,C000065,686.91,2026-05-15,prepaid,delivered
OC000281,C000065,1581.39,2026-05-23,COD,delivered
OC000282,C000065,1177.9,2026-06-28,COD,delivered
OC000283,C000065,392.0,2026-07-03,prepaid,delivered
OC000284,C000065,860.0,2026-08-10,prepaid,delivered
OC000285,C000066,323.57,2026-05-21,prepaid,delivered
OC000286,C000066,1849.27,2026-06-07,COD,delivered
OC000287,C000066,1526.82,2026-06-10,prepaid,delivered
OC000288,C000066,652.7,2026-07-26,prepaid,delivered
OC000289,C000066,822.12,2026-08-05,prepaid,delivered
OC000290,C000067,1300.38,2026-07-29,prepaid,delivered
OC000291,C000069,883.27,2025-09-26,prepaid,delivered
OC000292,C000069,325.09,2026-01-07,prepaid,delivered
OC000293,C000069,1327.13,2026-01-12,prepaid,delivered
OC000294,C000069,308.4,2026-02-20,prepaid,delivered
OC000295,C000069,672.29,2026-02-22,COD,delivered
OC000296,C000069,985.07,2026-03-08,COD,delivered
OC000297,C000069,1505.59,2026-03-16,COD,delivered
OC000298,C000069,1002.41,2026-03-20,COD,delivered
OC000299,C000069,466.41,2026-06-17,COD,refused
OC000300,C000070,1176.26,2026-08-08,prepaid,delivered
OC000301,C000071,747.2,2026-08-24,prepaid,delivered
OC000302,C000072,1011.43,2026-03-30,prepaid,delivered
OC000303,C000072,1148.22,2026-04-06,COD,delivered
OC000304,C000072,971.73,2026-04-25,prepaid,delivered
OC000305,C000072,656.65,2026-05-11,prepaid,delivered
OC000306,C000072,1870.46,2026-05-14,COD,delivered
OC000307,C000072,902.91,2026-05-19,prepaid,delivered
OC000308,C000073,1167.38,2025-11-29,prepaid,delivered
OC000309,C000073,464.64,2025-12-09,COD,delivered
OC000310,C000073,1327.56,2025-12-19,COD,refused
OC000311,C000073,1094.74,2026-01-03,prepaid,delivered
OC000312,C000073,528.44,2026-01-28,COD,delivered
OC000313,C000073,1552.69,2026-02-15,COD,delivered
OC000314,C000073,994.44,2026-02-25,prepaid,delivered
OC000315,C000073,694.92,2026-04-11,prepaid,delivered
OC000316,C000073,904.33,2026-04-29,prepaid,delivered
OC000317,C000074,573.7,2025-09-16,COD,delivered
OC000318,C000074,432.54,2025-09-24,prepaid,delivered
OC000319,C000074,729.37,2025-09-28,COD,delivered
OC000320,C000074,1323.05,2025-12-04,COD,delivered
OC000321,C000074,388.94,2026-01-12,prepaid,delivered
OC000322,C000074,699.95,2026-02-01,COD,delivered
OC000323,C000075,291.61,2026-06-20,prepaid,delivered
OC000324,C000075,903.86,2026-07-04,COD,delivered
OC000325,C000075,880.89,2026-07-12,prepaid,delivered
OC000326,C000076,1738.3,2026-06-18,COD,refused
OC000327,C000076,99.0,2026-07-07,COD,delivered
OC000328,C000076,691.29,2026-08-16,prepaid,delivered
OC000329,C000077,99.0,2025-12-27,COD,delivered
OC000330,C000077,410.04,2026-01-20,prepaid,delivered
OC000331,C000077,626.42,2026-02-05,COD,refused
OC000332,C000078,800.13,2026-08-12,prepaid,delivered
OC000333,C000079,1723.09,2025-11-09,COD,delivered
OC000334,C000079,131.0,2025-12-20,prepaid,delivered
