referral_id,referrer_user_id,referred_user_id,bonus_amount,bonus_status,claim_date
RF000001,U000001,U000002,191.02,paid,2026-03-21
RF000002,U000001,U000003,167.19,paid,2026-03-21
RF000003,U000001,U000004,111.88,paid,2026-03-20
RF000004,U000001,U000006,88.69,paid,2026-03-20
RF000005,U000001,U000008,193.16,pending,2026-03-21
RF000006,U000001,U000010,168.66,paid,2026-03-20
RF000007,U000001,U000011,112.47,pending,2026-03-22
RF000008,U000012,U000013,133.98,paid,2026-03-12
RF000009,U000012,U000014,268.44,paid,2026-03-12
RF000010,U000012,U000015,98.63,paid,2026-03-14
RF000011,U000012,U000017,133.38,paid,2026-03-14
RF000012,U000012,U000018,203.98,paid,2026-03-12
RF000013,U000012,U000019,191.86,paid,2026-03-12
RF000014,U000012,U000021,143.24,paid,2026-03-13
RF000015,U000012,U000022,233.82,paid,2026-03-12
RF000016,U000012,U000025,66.72,paid,2026-03-14
RF000017,U000012,U000026,90.5,paid,2026-03-14
RF000018,U000027,U000029,86.44,paid,2025-10-20
RF000019,U000027,U000030,194.83,paid,2025-10-20
RF000020,U000027,U000031,196.01,pending,2025-10-19
RF000021,U000027,U000033,56.55,paid,2025-10-20
RF000022,U000027,U000034,108.39,paid,2025-10-21
RF000023,U000035,U000036,274.11,paid,2025-12-28
RF000024,U000040,U000041,205.71,paid,2026-05-25
RF000025,U000040,U000042,131.34,paid,2026-05-26
RF000026,U000040,U000043,202.58,paid,2026-05-26
RF000027,U000040,U000044,63.65,paid,2026-05-26
RF000028,U000040,U000046,227.35,paid,2026-05-25
RF000029,U000047,U000048,215.2,paid,2025-11-06
RF000030,U000047,U000049,289.94,pending,2025-11-05
RF000031,U000047,U000050,62.08,pending,2025-11-06
RF000032,U000047,U000051,132.28,paid,2025-11-05
RF000033,U000047,U000053,210.92,paid,2025-11-05
RF000034,U000047,U000054,281.73,paid,2025-11-05
RF000035,U000047,U000055,283.06,pending,2025-11-06
RF000036,U000047,U000056,210.71,paid,2025-11-06
RF000037,U000047,U000058,229.85,paid,2025-11-07
RF000038,U000047,U000059,78.03,paid,2025-11-06
RF000039,U000060,U000062,80.34,paid,2026-03-08
RF000040,U000060,U000063,141.12,paid,2026-03-08
RF000041,U000060,U000064,54.94,paid,2026-03-08
RF000042,U000060,U000065,54.59,paid,2026-03-06
RF000043,U000066,U000067,74.21,paid,2025-09-20
RF000044,U000066,U000068,84.7,paid,2025-09-21
RF000045,U000066,U000069,92.37,paid,2025-09-20
RF000046,U000066,U000071,94.16,pending,2025-09-23
RF000047,U000066,U000072,207.78,paid,2025-09-23
RF000048,U000066,U000073,273.63,paid,2025-09-23
RF000049,U000066,U000075,126.61,paid,2025-09-22
RF000050,U000066,U000076,157.99,paid,2025-09-23
RF000051,U000066,U000077,153.26,paid,2025-09-20
RF000052,U000066,U000078,106.92,pending,2025-09-20
RF000053,U000079,U000080,223.52,paid,2026-01-23
RF000054,U000079,U000081,247.61,paid,2026-01-23
RF000055,U000079,U000083,118.22,paid,2026-01-25
RF000056,U000079,U000088,211.39,paid,2026-01-24
RF000057,U000079,U000089,262.04,paid,2026-01-24
RF000058,U000079,U000090,71.14,paid,2026-01-24
RF000059,U000079,U000091,132.32,paid,2026-01-22
RF000060,U000079,U000093,244.77,paid,2026-01-25
RF000061,U000094,U000095,98.68,paid,2026-04-27
RF000062,U000094,U000098,275.49,pending,2026-04-25
RF000063,U000094,U000099,249.62,paid,2026-04-26
RF000064,U000094,U000100,130.0,paid,2026-04-25
RF000065,U000094,U000101,215.27,paid,2026-04-25
RF000066,U000094,U000102,96.55,paid,2026-04-26
RF000067,U000094,U000103,138.06,paid,2026-04-27
RF000068,U000094,U000105,122.02,paid,2026-04-25
RF000069,U000094,U000107,246.99,paid,2026-04-24
RF000070,U000108,U000109,245.15,paid,2026-02-15
RF000071,U000108,U000111,216.59,pending,2026-02-13
RF000072,U000108,U000112,162.18,paid,2026-02-14
