session_id,user_id,device_fingerprint_id,ip_address,timestamp,action_type
S000001,U000001,dfp_e348db4fb1758c9d,120.127.249.173,2026-03-20 05:48:55,signup
S000002,U000001,dfp_e348db4fb1758c9d,120.127.249.173,2026-03-20 07:49:54,order_placed
S000003,U000002,dfp_e348db4fb1758c9d,120.127.249.207,2026-03-20 21:04:22,signup
S000004,U000002,dfp_e348db4fb1758c9d,120.127.249.207,2026-03-21 00:29:19,referral_claim
S000005,U000002,dfp_e348db4fb1758c9d,120.127.249.207,2026-03-21 06:40:55,order_placed
S000006,U000003,dfp_e348db4fb1758c9d,120.127.249.113,2026-03-20 18:15:49,signup
S000007,U000003,dfp_e348db4fb1758c9d,120.127.249.113,2026-03-21 00:09:08,referral_claim
S000008,U000003,dfp_e348db4fb1758c9d,120.127.249.113,2026-03-21 02:24:34,order_placed
S000009,U000004,dfp_e348db4fb1758c9d,120.127.249.83,2026-03-20 09:38:34,signup
S000010,U000004,dfp_e348db4fb1758c9d,120.127.249.83,2026-03-20 10:18:32,referral_claim
S000011,U000004,dfp_e348db4fb1758c9d,120.127.249.83,2026-03-20 13:07:22,order_placed
S000012,U000004,dfp_e348db4fb1758c9d,120.127.249.83,2026-03-20 19:20:47,order_placed
S000013,U000004,dfp_e348db4fb1758c9d,120.127.249.83,2026-04-09 02:02:28,login
S000014,U000005,dfp_e348db4fb1758c9d,120.127.249.238,2026-03-20 13:23:42,signup
S000015,U000005,dfp_e348db4fb1758c9d,120.127.249.238,2026-03-21 01:22:09,order_placed
S000016,U000005,dfp_e348db4fb1758c9d,120.127.249.238,2026-04-01 23:23:22,login
S000017,U000006,dfp_e348db4fb1758c9d,120.127.249.14,2026-03-20 02:41:01,signup
S000018,U000006,dfp_e348db4fb1758c9d,120.127.249.14,2026-03-20 07:17:30,referral_claim
S000019,U000006,dfp_e348db4fb1758c9d,120.127.249.14,2026-03-20 20:13:30,order_placed
S000020,U000006,dfp_e348db4fb1758c9d,120.127.249.14,2026-03-21 09:08:29,order_placed
S000021,U000007,dfp_e348db4fb1758c9d,120.127.249.152,2026-03-20 23:51:13,signup
S000022,U000007,dfp_e348db4fb1758c9d,120.127.249.152,2026-03-21 12:34:09,order_placed
S000023,U000007,dfp_e348db4fb1758c9d,120.127.249.152,2026-03-22 03:39:32,order_placed
S000024,U000008,dfp_e348db4fb1758c9d,120.127.249.215,2026-03-21 08:39:31,signup
S000025,U000008,dfp_e348db4fb1758c9d,120.127.249.215,2026-03-21 13:07:46,referral_claim
S000026,U000008,dfp_e348db4fb1758c9d,120.127.249.215,2026-03-22 03:27:50,order_placed
S000027,U000008,dfp_e348db4fb1758c9d,120.127.249.215,2026-03-22 13:07:16,order_placed
S000028,U000009,dfp_e348db4fb1758c9d,120.127.249.252,2026-03-20 02:48:50,signup
S000029,U000009,dfp_e348db4fb1758c9d,120.127.249.252,2026-03-20 16:17:18,order_placed
S000030,U000009,dfp_e348db4fb1758c9d,120.127.249.252,2026-03-21 03:17:39,order_placed
S000031,U000010,dfp_e348db4fb1758c9d,120.127.249.186,2026-03-19 21:49:58,signup
S000032,U000010,dfp_e348db4fb1758c9d,120.127.249.186,2026-03-20 00:50:22,referral_claim
S000033,U000010,dfp_e348db4fb1758c9d,120.127.249.186,2026-03-20 18:59:27,order_placed
S000034,U000011,dfp_e348db4fb1758c9d,120.127.249.133,2026-03-22 11:42:36,signup
S000035,U000011,dfp_e348db4fb1758c9d,120.127.249.133,2026-03-22 13:45:56,referral_claim
S000036,U000011,dfp_e348db4fb1758c9d,120.127.249.133,2026-03-23 01:18:23,order_placed
S000037,U000011,dfp_e348db4fb1758c9d,120.127.249.133,2026-03-23 19:32:58,order_placed
S000038,U000011,dfp_e348db4fb1758c9d,120.127.249.133,2026-04-01 02:08:57,login
S000039,U000012,dfp_9eb9c04f841fdfc3,182.9.47.18,2026-03-14 04:59:37,signup
S000040,U000012,dfp_9eb9c04f841fdfc3,182.9.47.18,2026-03-14 19:00:20,order_placed
S000041,U000013,dfp_9eb9c04f841fdfc3,182.9.47.168,2026-03-12 01:59:19,signup
S000042,U000013,dfp_9eb9c04f841fdfc3,182.9.47.168,2026-03-12 02:24:28,referral_claim
S000043,U000013,dfp_9eb9c04f841fdfc3,182.9.47.168,2026-03-12 18:12:56,order_placed
S000044,U000013,dfp_9eb9c04f841fdfc3,182.9.47.168,2026-03-13 00:43:28,order_placed
S000045,U000014,dfp_9eb9c04f841fdfc3,182.9.47.210,2026-03-12 03:24:30,signup
S000046,U000014,dfp_9eb9c04f841fdfc3,182.9.47.210,2026-03-12 06:07:57,referral_claim
S000047,U000014,dfp_9eb9c04f841fdfc3,182.9.47.210,2026-03-12 06:55:19,order_placed
S000048,U000014,dfp_9eb9c04f841fdfc3,182.9.47.210,2026-03-12 17:33:17,order_placed
S000049,U000015,dfp_9eb9c04f841fdfc3,182.9.47.219,2026-03-14 04:54:06,signup
S000050,U000015,dfp_9eb9c04f841fdfc3,182.9.47.219,2026-03-14 09:52:34,referral_claim
S000051,U000015,dfp_9eb9c04f841fdfc3,182.9.47.219,2026-03-15 03:09:00,order_placed
S000052,U000015,dfp_9eb9c04f841fdfc3,182.9.47.219,2026-03-15 05:01:02,order_placed
S000053,U000016,dfp_9eb9c04f841fdfc3,182.9.47.60,2026-03-13 20:44:47,signup
S000054,U000016,dfp_9eb9c04f841fdfc3,182.9.47.60,2026-03-14 01:31:58,order_placed
S000055,U000017,dfp_9eb9c04f841fdfc3,182.9.47.4,2026-03-14 03:15:33,signup
S000056,U000017,dfp_9eb9c04f841fdfc3,182.9.47.4,2026-03-14 05:39:47,referral_claim
S000057,U000017,dfp_9eb9c04f841fdfc3,182.9.47.4,2026-03-14 16:17:34,order_placed
S000058,U000017,dfp_9eb9c04f841fdfc3,182.9.47.4,2026-03-15 13:02:56,order_placed
S000059,U000018,dfp_9eb9c04f841fdfc3,182.9.47.254,2026-03-12 06:00:40,signup
S000060,U000018,dfp_9eb9c04f841fdfc3,182.9.47.254,2026-03-12 10:54:53,referral_claim
S000061,U000018,dfp_9eb9c04f841fdfc3,182.9.47.254,2026-03-12 14:03:06,order_placed
S000062,U000018,dfp_9eb9c04f841fdfc3,182.9.47.254,2026-03-12 23:02:02,order_placed
S000063,U000019,dfp_9eb9c04f841fdfc3,182.9.47.40,2026-03-12 07:02:52,signup
S000064,U000019,dfp_9eb9c04f841fdfc3,182.9.47.40,2026-03-12 08:17:26,referral_claim
S000065,U000019,dfp_9eb9c04f841fdfc3,182.9.47.40,2026-03-13 04:49:06,order_placed
S000066,U000020,dfp_9eb9c04f841fdfc3,182.9.47.81,2026-03-13 20:00:29,signup
S000067,U000020,dfp_9eb9c04f841fdfc3,182.9.47.81,2026-03-13 22:53:22,order_placed
