referral_id,referrer_user_id,referred_user_id,bonus_amount,bonus_status,claim_date
RF000001,U000001,U000002,155.54,paid,2026-04-21
RF000002,U000001,U000003,71.41,paid,2026-04-21
RF000003,U000001,U000004,97.6,paid,2026-04-22
RF000004,U000001,U000005,188.94,paid,2026-04-21
RF000005,U000001,U000006,299.02,paid,2026-04-19
RF000006,U000001,U000007,90.4,paid,2026-04-19
RF000007,U000001,U000008,126.3,paid,2026-04-20
RF000008,U000001,U000010,242.12,paid,2026-04-20
RF000009,U000001,U000011,69.37,paid,2026-04-19
RF000010,U000001,U000012,70.99,paid,2026-04-20
RF000011,U000001,U000013,99.58,paid,2026-04-22
RF000012,U000014,U000015,68.52,paid,2026-02-02
RF000013,U000014,U000016,186.14,paid,2026-02-01
RF000014,U000014,U000017,150.11,paid,2026-02-03
RF000015,U000014,U000018,86.16,paid,2026-02-04
RF000016,U000014,U000019,277.61,paid,2026-02-02
RF000017,U000014,U000020,145.64,paid,2026-02-02
RF000018,U000014,U000021,230.23,paid,2026-02-01
RF000019,U000014,U000022,209.64,paid,2026-02-02
RF000020,U000014,U000024,77.26,paid,2026-02-02
RF000021,U000014,U000025,168.57,paid,2026-02-02
RF000022,U000026,U000027,51.93,paid,2025-10-31
RF000023,U000026,U000029,243.21,paid,2025-10-31
RF000024,U000026,U000030,234.73,paid,2025-11-02
RF000025,U000026,U000032,140.65,paid,2025-10-31
RF000026,U000026,U000033,202.65,paid,2025-11-02
RF000027,U000026,U000035,51.31,paid,2025-11-02
RF000028,U000026,U000036,66.92,paid,2025-11-02
RF000029,U000026,U000037,244.05,paid,2025-11-02
RF000030,U000026,U000038,70.65,paid,2025-10-31
RF000031,U000026,U000039,159.54,paid,2025-10-31
RF000032,U000026,U000040,279.12,paid,2025-11-01
RF000033,U000041,U000042,68.24,paid,2026-02-04
RF000034,U000041,U000044,150.15,paid,2026-02-03
RF000035,U000041,U000045,282.84,paid,2026-02-03
RF000036,U000041,U000046,145.05,paid,2026-02-03
RF000037,U000041,U000047,98.07,paid,2026-02-02
RF000038,U000041,U000048,84.32,paid,2026-02-04
RF000039,U000041,U000049,234.67,pending,2026-02-03
RF000040,U000041,U000050,252.2,paid,2026-02-02
RF000041,U000041,U000051,65.53,paid,2026-02-03
RF000042,U000041,U000053,194.58,paid,2026-02-04
RF000043,U000041,U000054,239.04,pending,2026-02-03
RF000044,U000055,U000056,277.25,paid,2026-01-15
RF000045,U000055,U000057,266.02,paid,2026-01-16
RF000046,U000055,U000058,289.31,paid,2026-01-16
RF000047,U000055,U000059,277.44,paid,2026-01-16
RF000048,U000055,U000060,211.23,paid,2026-01-16
RF000049,U000055,U000062,71.42,paid,2026-01-17
RF000050,U000063,U000065,169.04,paid,2025-10-02
RF000051,U000063,U000066,261.38,paid,2025-10-02
RF000052,U000063,U000067,191.41,paid,2025-10-01
RF000053,U000063,U000068,237.52,paid,2025-10-01
RF000054,U000063,U000069,273.54,paid,2025-10-01
RF000055,U000063,U000070,141.89,paid,2025-09-30
RF000056,U000063,U000071,198.48,paid,2025-09-30
RF000057,U000063,U000072,203.07,paid,2025-10-02
RF000058,U000063,U000073,278.49,paid,2025-10-01
RF000059,U000063,U000074,231.8,paid,2025-10-02
RF000060,U000063,U000075,116.25,paid,2025-10-01
RF000061,U000063,U000076,285.57,paid,2025-10-02
RF000062,U000077,U000079,159.56,paid,2026-07-25
